## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
HG002_PCR_FREE	1644253	472274253	4593193	2576241	526268	56887779	5802003	0.120802	1971207926

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.011008	364468412	0	369167161
2.0	1.806624	45827536	5631836	42091003
3.0	2.432737	4542903	83294	3700010
4.0	2.925459	432960	1149	327901
5.0	3.313208	62092	20	50656
6.0	3.618349	20443	2	18905
7.0	3.85848	10953	0	10621
8.0	4.047452	6931	0	6627
9.0	4.196164	4610	1	4413
10.0	4.313194	3089	1	2996
11.0	4.405291	2063	0	1957
12.0	4.477767	1378	0	1294
13.0	4.534802	905	0	853
14.0	4.579686	575	0	540
15.0	4.615008	405	0	384
16.0	4.642804	265	0	240
17.0	4.664679	170	0	158
18.0	4.681893	131	0	123
19.0	4.69544	93	0	81
20.0	4.706101	58	0	59
21.0	4.71449	56	0	54
22.0	4.721092	57	0	54
23.0	4.726288	36	0	32
24.0	4.730377	23	0	23
25.0	4.733594	28	0	30
26.0	4.736126	21	1	21
27.0	4.738119	19	0	17
28.0	4.739687	16	0	16
29.0	4.740921	29	0	28
30.0	4.741892	14	0	14
31.0	4.742656	10	0	10
32.0	4.743258	8	0	8
33.0	4.743731	11	0	12
34.0	4.744104	11	0	10
35.0	4.744397	13	0	14
36.0	4.744627	16	0	15
37.0	4.744809	9	0	9
38.0	4.744952	6	0	6
39.0	4.745064	9	0	9
40.0	4.745153	12	0	12
41.0	4.745222	15	0	16
42.0	4.745277	9	0	8
43.0	4.74532	7	0	7
44.0	4.745354	8	0	8
45.0	4.745381	10	0	10
46.0	4.745402	10	0	10
47.0	4.745418	9	0	9
48.0	4.745431	9	0	9
49.0	4.745442	4	0	4
50.0	4.74545	6	0	6
51.0	4.745456	10	0	10
52.0	4.745461	6	0	6
53.0	4.745465	6	0	6
54.0	4.745468	8	0	8
55.0	4.74547	6	0	6
56.0	4.745472	10	0	10
57.0	4.745474	7	0	7
58.0	4.745475	2	0	2
59.0	4.745476	8	0	8
60.0	4.745477	13	0	13
61.0	4.745477	5	0	5
62.0	4.745478	0	0	0
63.0	4.745478	3	0	3
64.0	4.745478	3	0	3
65.0	4.745479	6	0	6
66.0	4.745479	2	0	2
67.0	4.745479	8	0	8
68.0	4.745479	6	0	6
69.0	4.745479	4	0	4
70.0	4.745479	2	0	2
71.0	4.745479	6	0	6
72.0	4.745479	2	0	2
73.0	4.745479	4	0	4
74.0	4.745479	3	0	3
75.0	4.745479	4	0	4
76.0	4.745479	5	0	5
77.0	4.745479	5	0	5
78.0	4.745479	3	0	3
79.0	4.745479	3	0	3
80.0	4.745479	8	0	8
81.0	4.745479	4	0	4
82.0	4.745479	3	0	3
83.0	4.745479	3	0	3
84.0	4.745479	5	0	5
85.0	4.745479	2	0	2
86.0	4.745479	1	0	1
87.0	4.745479	3	0	3
88.0	4.745479	4	0	4
89.0	4.745479	0	0	0
90.0	4.745479	2	0	2
91.0	4.745479	5	0	5
92.0	4.745479	1	0	1
93.0	4.745479	2	0	2
94.0	4.745479	1	0	1
95.0	4.745479	4	0	4
96.0	4.745479	0	0	0
97.0	4.745479	2	0	2
98.0	4.745479	2	0	2
99.0	4.745479	1	0	1
