## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
HG002_PCR_FREE	3043	995976	9953	5005	382	85359	13489	0.085765	6383811

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.012687	830629	0	842421
2.0	1.879086	74891	13100	64682
3.0	2.620331	4845	190	3373
4.0	3.254499	245	3	137
5.0	3.797059	8	0	5
6.0	4.261243	1	0	1
7.0	4.658375	0	0	0
8.0	4.998139	1	0	1
9.0	5.288822	0	0	0
10.0	5.537515	0	0	0
11.0	5.750283	0	0	0
12.0	5.932316	0	0	0
13.0	6.088053	0	0	0
14.0	6.221294	0	0	0
15.0	6.335287	0	0	0
16.0	6.432814	0	0	0
17.0	6.516252	0	0	0
18.0	6.587637	0	0	0
19.0	6.648711	0	0	0
20.0	6.700962	0	0	0
21.0	6.745665	0	0	0
22.0	6.78391	0	0	0
23.0	6.816631	0	0	0
24.0	6.844625	0	0	0
25.0	6.868576	0	0	0
26.0	6.889066	0	0	0
27.0	6.906597	0	0	0
28.0	6.921595	0	0	0
29.0	6.934427	0	0	0
30.0	6.945405	0	0	0
31.0	6.954797	0	0	0
32.0	6.962833	0	0	0
33.0	6.969707	0	0	0
34.0	6.975589	0	0	0
35.0	6.980621	0	0	0
36.0	6.984926	0	0	0
37.0	6.988609	0	0	0
38.0	6.991761	0	0	0
39.0	6.994457	0	0	0
40.0	6.996763	0	0	0
41.0	6.998736	0	0	0
42.0	7.000425	0	0	0
43.0	7.001869	0	0	0
44.0	7.003105	0	0	0
45.0	7.004162	0	0	0
46.0	7.005067	0	0	0
47.0	7.00584	0	0	0
48.0	7.006503	0	0	0
49.0	7.007069	0	0	0
50.0	7.007554	0	0	0
51.0	7.007968	0	0	0
52.0	7.008323	0	0	0
53.0	7.008626	0	0	0
54.0	7.008886	0	0	0
55.0	7.009108	0	0	0
56.0	7.009298	0	0	0
57.0	7.009461	0	0	0
58.0	7.0096	0	0	0
59.0	7.009719	0	0	0
60.0	7.009821	0	0	0
61.0	7.009908	0	0	0
62.0	7.009982	0	0	0
63.0	7.010046	0	0	0
64.0	7.010101	0	0	0
65.0	7.010147	0	0	0
66.0	7.010187	0	0	0
67.0	7.010221	0	0	0
68.0	7.010251	0	0	0
69.0	7.010276	0	0	0
70.0	7.010297	0	0	0
71.0	7.010315	0	0	0
72.0	7.010331	0	0	0
73.0	7.010344	0	0	0
74.0	7.010356	0	0	0
75.0	7.010366	0	0	0
76.0	7.010374	0	0	0
77.0	7.010381	0	0	0
78.0	7.010387	0	0	0
79.0	7.010393	0	0	0
80.0	7.010397	0	0	0
81.0	7.010401	0	0	0
82.0	7.010404	0	0	0
83.0	7.010407	0	0	0
84.0	7.010409	0	0	0
85.0	7.010412	0	0	0
86.0	7.010413	0	0	0
87.0	7.010415	0	0	0
88.0	7.010416	0	0	0
89.0	7.010417	0	0	0
90.0	7.010418	0	0	0
91.0	7.010419	0	0	0
92.0	7.01042	0	0	0
93.0	7.01042	0	0	0
94.0	7.010421	0	0	0
95.0	7.010421	0	0	0
96.0	7.010422	0	0	0
97.0	7.010422	0	0	0
98.0	7.010422	0	0	0
99.0	7.010422	0	0	0
100.0	7.010423	0	0	0
