#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	155375	19355622	7.7747	0.093108	35.7	52.4
chr2	1	242193529	147771	19441924	8.02743	0.0905398	35.7	56.8
chr3	1	198295559	121188	15953750	8.04544	0.091407	35.8	57.8
chr4	1	190214555	112738	14789504	7.77517	0.0881854	35.7	56.6
chr5	1	181538259	106483	14123143	7.77971	0.0876	35.8	57.6
chr6	1	170805979	101535	13477659	7.89062	0.0888851	35.7	56.6
chr7	1	159345973	95908	12772734	8.01572	0.089785	35.7	56.3
chr8	1	145138636	86880	11571569	7.97277	0.0895194	35.7	56.4
chr9	1	138394717	73345	9783518	7.06929	0.0791782	35.7	54.9
chr10	1	133797422	83192	10914509	8.15749	0.0924877	35.7	56.3
chr11	1	135086622	81530	10919431	8.08328	0.0902235	35.7	57.3
chr12	1	133275309	81304	10811153	8.11189	0.090929	35.7	57.3
chr13	1	114364328	60150	7919872	6.92512	0.0786658	35.8	55.2
chr14	1	107043718	54315	7237725	6.76147	0.0756727	35.7	57
chr15	1	101991189	50162	6692958	6.56229	0.073393	35.7	54.6
chr16	1	90338345	56317	6810436	7.53881	0.0924073	35.7	51.4
chr17	1	83257441	52156	6734491	8.08876	0.092751	35.6	53.3
chr18	1	80373285	47870	6353680	7.90521	0.0890204	35.8	54.5
chr19	1	58617616	36202	4791827	8.17472	0.0916246	35.5	57
chr20	1	64444167	41991	5458005	8.46935	0.0965753	35.7	54.7
chr21	1	46709983	28741	3292442	7.04869	0.0908326	35.6	44.7
chr22	1	50818468	24833	3274827	6.44417	0.0725461	35.6	53.5
chrX	1	156040895	47061	6415323	4.11131	0.0449621	35.7	55.8
chrY	1	57227415	15467	1152454	2.01381	0.0376612	35.4	19.8
chrM	1	16569	5630	16569	100	50.5911	35.5	56.6
chr1_KI270706v1_random	1	175055	132	17509	10.002	0.112839	35.5	40.3
chr1_KI270707v1_random	1	32032	24	3033	9.46866	0.108704	35.7	36.2
chr1_KI270708v1_random	1	127682	48	5993	4.69369	0.0558575	35.7	37.1
chr1_KI270709v1_random	1	66860	1088	24266	36.2937	2.37332	35.4	15.2
chr1_KI270710v1_random	1	40176	16	2305	5.73726	0.0601354	36.5	25.8
chr1_KI270711v1_random	1	42210	61	6814	16.1431	0.218147	35.1	25.2
chr1_KI270712v1_random	1	176043	96	11569	6.57169	0.0742432	35.1	22.2
chr1_KI270713v1_random	1	40745	54	6466	15.8694	0.19811	35.8	29.8
chr1_KI270714v1_random	1	41717	30	3701	8.87168	0.108181	35.2	34.1
chr2_KI270715v1_random	1	161471	109	14293	8.85174	0.100823	36	9.94
chr2_KI270716v1_random	1	153799	69	8446	5.49158	0.0643112	35.7	9.75
chr3_GL000221v1_random	1	155397	164	20173	12.9816	0.158053	35.7	9.59
chr4_GL000008v2_random	1	209709	253	26134	12.462	0.165796	35.5	32
chr5_GL000208v1_random	1	92689	90	10916	11.777	0.143588	35.1	39.1
chr9_KI270717v1_random	1	40062	15	2265	5.65374	0.0565374	35.9	27.4
chr9_KI270718v1_random	1	38054	31	4175	10.9713	0.122142	36	11.6
chr9_KI270719v1_random	1	176845	182	23248	13.146	0.153473	35.5	31.5
chr9_KI270720v1_random	1	39050	53	6801	17.4161	0.204481	35.8	45.4
chr11_KI270721v1_random	1	100316	50	6623	6.60214	0.0749232	36.1	8.72
chr14_GL000009v2_random	1	201709	283	36432	18.0617	0.208513	35.7	32.3
chr14_GL000225v1_random	1	211173	859	44665	21.1509	0.542418	35.6	19.1
chr14_KI270722v1_random	1	194050	123	15915	8.20149	0.094455	35.6	44.9
chr14_GL000194v1_random	1	191469	356	41709	21.7837	0.278379	35.5	35.3
